"tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"ID707965995734794241","Trump","Boston forever","03/10/2016 11:27","Boston, MA","Yerevan","0","#trump Miami Democratic Debate Best Lines https://t.co/NKo8egYQ2u #GOPdebate https://t.co/cBsv27yNtB"
"ID708094649966182400","Trump","Mike","03/10/2016 19:58","United States","Central Time (US & Canada)","294","RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h��"
"ID708109312732737536","Rubio","Better Life","03/10/2016 20:56","Los Angeles, CA","null","1","Rubio looks unemployed soon #GOPDebate"
"ID708109413152763904","Rubio","YourPalVic","03/10/2016 20:56","Texas","Central Time (US & Canada)","0","Ted actually got a hearty welcome. Rubio, of course, got the most love. #GOPDebate"
"ID708069022969892865","Rubio","Salt","03/10/2016 18:16","Bunker, USA","Eastern Time (US & Canada)","12","RT @MDGallar: Rubio's campaign is so impulsive it's hard to describe, but I think this sums up his strategy.
#GOPdebate
#FLprimary https://��"
"ID708078415845453824","Trump","Ronny","03/10/2016 18:53","Bend, OR","Hawaii","1","RT @lightning7876: Sigh....yet another stupid media story to add to the steaming pile of BS to launch at Trump tonight. Sickening! #Michele��"
"ID708103299916963841","Trump","JOHN STRONG","03/10/2016 20:32","null","Central Time (US & Canada)","1","#GOPDebate 
ANOTHER BARROOM  BRAWL
OR A LEADERSHIP SHOW CASE
I AM BETTING ON A BRAWL  
#TRUMP #MakeAmericaGreatAgain"
"ID708103627378978816","Trump","Stevie Dawson","03/10/2016 20:33","London","London","0","Time to watch walking bumhole Donald Trump make mincemeat of the other candidates again #GOPDebate #CNN"
"ID708102980256591872","Cruz","Heather Jameson","03/10/2016 20:31","Yanceyville,NC","null","49","RT @peddoc63: Jeb Bush was a good governor. I hope he endorses Cruz. Everyone should support Cruz. He's a fighter & winner! #GOPDebate #Flo��"
"ID708071285180358656","Cruz","Chaz Packan","03/10/2016 18:25","null","Atlantic Time (Canada)","59","RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/��"
"ID708109369297076224","Cruz","Eden","03/10/2016 20:56","Chicago-ish","null","0","Is ted cruz wearing a woman's suit tonight?   Makes his hips look good. #GOPDebate"
"ID708107726857965568","Trump","Maximilian","03/10/2016 20:50","San Francisco, CA","Pacific Time (US & Canada)","0","It would be hilarious if trump won the nomination just to see the party cripple #GOPDebate"
"ID707988197897142273","Trump","offdutyTEXASredneck","03/10/2016 12:55","Texas, USA","Central Time (US & Canada)","2","Will trump be at tonight's  #GOPDebate 
OR 
Scamming VETS AGAIN with a """"fundraiser"""" ??
#FRAUD 
#NeverTrump"
"ID708017869917806592","Trump","Peter Gessel","03/10/2016 14:53","Orem, UT","null","19","RT @jesie_ann: If Trump doesn't get asked about his campaign manager tonight the moderators aren't doing it right. #GOPDebate"
"ID707979608235253760","Trump","sonny r","03/10/2016 12:21","null","null","267","RT @immigrant4trump: The American people are DONE with career politicians
""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt��"
"ID708109972954095616","Kasich","Peach Braxton","03/10/2016 20:59","New Jersey","Eastern Time (US & Canada)","46","RT @KyleKulinski: Without Anderson Cooper hosting how will I know which Pokemon is Kasich's favorite? #GOPDebate"
